product_title,link,price,currency,pre_reduction,discount
Nike Dunk Low,https://www.namshi.com//bahrain-en/buy-nike-nike-dunk-low/ZFEF2C8F823FB3D879D23Z/p/,37.11,BHD,48.67,-24%
Kids Sunray Protect 4 Bp,https://www.namshi.com//bahrain-en/buy-nike-kids-sunray-protect-4-bp/V02135E990CEB4A76384FV/p/,18.56,BHD,24.83,-26%
Youth Handball Spezial,https://www.namshi.com//bahrain-en/buy-adidas-originals-youth-handball-spezial/Z101ACBC0B1B0498A2FD2Z/p/,28.23,BHD,46.50,-40%
Infant Breaknet 3.0 Cf,https://www.namshi.com//bahrain-en/buy-adidas-infant-breaknet-3-0-cf/Z826FCD32186DA061C2E0Z/p/,15.94,BHD,18.32,-14%
Kids Adifom Samba 360 C,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-adifom-samba-360-c/ZF6436E185DD3300F5D2AZ/p/,24.93,BHD,43.26,-43%
Kids Gel-Nyc Ps,https://www.namshi.com//bahrain-en/buy-asics-kids-gel-nyc-ps/Z02031B769C725A697249Z/p/,33.58,BHD,42.82,-22%
Youth Tensaur Switch,https://www.namshi.com//bahrain-en/buy-adidas-youth-tensaur-switch/Z54D4D26C6E54A7408E19Z/p/,16.74,BHD,22.66,-27%
Youth Omni Multi-Court Gs,https://www.namshi.com//bahrain-en/buy-nike-youth-omni-multi-court-gs/Z1CA52DC187617C02F9BAZ/p/,16.39,BHD,30.24,-46%
Kids Fun Racer 2 Ac+ Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-fun-racer-2-ac-ps/Z2F7CF9E1F9747D55B11EZ/p/,10.59,BHD,18.32,-43%
Infant Adifom Samba 360 I,https://www.namshi.com//bahrain-en/buy-adidas-originals-infant-adifom-samba-360-i/V54F76D126AFAC467CBE0V/p/,17.42,BHD,30.24,-43%
Kids Ps Lockdown 7,https://www.namshi.com//bahrain-en/buy-under-armour-kids-ps-lockdown-7/V1B088266164405295E32V/p/,13.66,BHD,30.24,-55%
"Kids' Black Velcro Strap Sneakers Shoes - Easy-On, Day Fun for Little Explorers!",https://www.namshi.com//bahrain-en/buy-u-s-polo-assn-kids-black-velcro-strap-sneakers-shoes-easy-on-day-fun-for-little-explorers/Z305260DA62425DFB9181Z/p/,18.91,BHD,33.22,-44%
Nike Air Max SC,https://www.namshi.com//bahrain-en/buy-nike-nike-air-max-sc/VC3C16DA1E7485E90D706V/p/,20.26,BHD,41.09,-51%
